,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,2.9747546672821046,0.3849242505243561,0.004614925384521485,0.00025367546797879653,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.335,0.3605,0.36375,0.33975,0.354,0.3506,0.011345263328808192,156
11,5.833747386932373,1.2112796064591742,0.004598760604858398,2.5498351515007876e-05,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.61525,0.65625,0.62375,0.6335,0.59125,0.624,0.02135181491114981,134
12,6.411265707015991,1.2658947657776956,0.004705476760864258,6.288836780841586e-05,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.66375,0.67725,0.67625,0.7215,0.629,0.6735499999999999,0.029667911958882458,121
13,6.711884307861328,1.471161806790262,0.004743194580078125,3.8069586938863517e-05,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.681,0.72875,0.69425,0.72825,0.7175,0.7099500000000001,0.01913073443441205,90
14,6.021489381790161,0.828355912700992,0.004862594604492188,2.94835783705784e-05,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.6925,0.70925,0.723,0.697,0.697,0.7037500000000001,0.011122050170719433,102
15,7.687866926193237,1.4600100310520374,0.005135297775268555,0.000270232288328514,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.757,0.69075,0.72975,0.73875,0.747,0.73265,0.022803837396368192,70
16,10.521708011627197,2.233607553537716,0.005623435974121094,0.00043803200897498887,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.7275,0.75875,0.76075,0.769,0.75075,0.75335,0.014169156643922032,55
17,9.944602823257446,1.06238360971767,0.005759239196777344,0.0006018828745803387,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",0.763,0.72925,0.74775,0.748,0.7465,0.7468999999999999,0.01070350409912569,57
18,1.6055627346038819,0.7131965395502385,0.004325389862060547,0.0002652990994762754,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.10475,0.11825,0.127,0.10725,0.109,0.11325,0.008250757540977679,180
19,3.689552879333496,0.8559571718508437,0.004303884506225586,0.00036895634937534667,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.326,0.3475,0.34375,0.3005,0.3435,0.33225,0.017541379649275025,160
20,4.996668100357056,0.7852950908381259,0.004593610763549805,0.00042230371611798697,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.57825,0.60025,0.62875,0.60125,0.56775,0.5952500000000001,0.021111608181282642,137
21,5.503079223632812,1.3377171298158674,0.004330968856811524,2.3979552336290937e-05,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.673,0.67175,0.6395,0.64275,0.5965,0.6446999999999999,0.027880728111008855,127
22,6.878194999694824,1.0888987050109962,0.004361915588378906,3.4326778077711856e-05,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 20}",0.6905,0.6615,0.7045,0.6995,0.676,0.6864,0.015774663229368803,114
23,7.120374441146851,0.6845704872248114,0.004483699798583984,6.219389814636371e-05,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 25}",0.682,0.704,0.687,0.7015,0.70125,0.6951500000000002,0.008890444308357122,109
24,7.415353536605835,0.9489118761989664,0.004583501815795898,2.559536434801362e-05,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 30}",0.701,0.72825,0.696,0.7235,0.72225,0.7142,0.013070386375314245,88
